feature
energy
saturated_fat
sugars
salt
fibers
group1_Beverages
group1_Cereals and potatoes
group1_Composite foods
group1_Fat and sauces
group1_Fruits and vegetables
group1_Milk and dairy products
group1_Sugary snacks
group1_unknown
